wkdaynbr,timegroup,entries_diff,station_id
3,5,38475.21428571428,Times Sq - 42 StBroadway - 7Av
4,5,37161.107142857145,Times Sq - 42 StBroadway - 7Av
2,5,36247.75,Times Sq - 42 StBroadway - 7Av
5,5,35110.92857142857,Times Sq - 42 StBroadway - 7Av
1,5,34557.67857142857,Times Sq - 42 StBroadway - 7Av
5,4,27865.821428571428,34 St - Herald SqBroadway - Brighton
3,6,27122.535714285714,Grand Central - 42 StLexington - Shuttle
4,6,26979.25,Grand Central - 42 StLexington - Shuttle
5,6,26603.321428571428,Grand Central - 42 StLexington - Shuttle
2,6,26260.60714285714,Grand Central - 42 StLexington - Shuttle
6,5,24806.571428571428,34 St - Herald SqBroadway - Brighton
4,4,24605.10714285714,34 St - Herald SqBroadway - Brighton
3,4,24316.35714285714,Grand Central - 42 StLexington - Shuttle
2,4,24065.035714285714,Grand Central - 42 StLexington - Shuttle
3,3,23752.928571428572,34 St - Penn Station8th Av - Fulton St
1,6,23208.964285714286,Grand Central - 42 StLexington - Shuttle
2,3,23076.10714285714,34 St - Penn Station8th Av - Fulton St
4,3,22884.89285714286,34 St - Penn Station8th Av - Fulton St
5,3,22812.25,42 St - Port Authority Bus Terminal8th Av - Fulton St
1,4,22450.5,34 St - Herald SqBroadway - Brighton
1,3,22290.214285714286,34 St - Penn Station8th Av - Fulton St
6,6,22147.5,14 St - Union SqLexington - Shuttle
0,5,20478.25,34 St - Herald SqBroadway - Brighton
6,4,19244.428571428572,34 St - Herald SqBroadway - Brighton
0,6,18636.535714285714,14 St - Union SqLexington - Shuttle
2,2,18384.0,42 St - Port Authority Bus Terminal8th Av - Fulton St
3,2,18072.35714285714,42 St - Port Authority Bus Terminal8th Av - Fulton St
6,1,17869.615384615383,14 St - Union SqLexington - Shuttle
4,2,17789.928571428572,42 St - Port Authority Bus Terminal8th Av - Fulton St
1,2,17099.535714285714,42 St - Port Authority Bus Terminal8th Av - Fulton St
5,1,16723.25,14 St - Union SqLexington - Shuttle
4,1,16446.321428571428,14 St - Union SqLexington - Shuttle
5,2,16258.57142857143,42 St - Port Authority Bus Terminal8th Av - Fulton St
0,4,15516.5,34 St - Herald SqBroadway - Brighton
3,1,14953.92857142857,14 St - Union SqLexington - Shuttle
0,1,13868.285714285714,14 St - Union SqLexington - Shuttle
2,1,12931.357142857143,14 St - Union SqLexington - Shuttle
6,3,10208.535714285714,Flushing - Main StFlushing
1,1,9139.642857142857,14 St - Union SqLexington - Shuttle
0,3,8294.5,Flushing - Main StFlushing
6,2,4484.428571428572,Jackson Hts - Roosevelt AvQueens - Archer
0,2,3109.214285714286,14 St - Union SqLexington - Shuttle
