Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,zipcode
0,1,1,R01,BMT,Astoria,Astoria - Ditmars Blvd,Q,N W,Elevated,40.775036,-73.91203399999999,11105
1,2,2,R03,BMT,Astoria,Astoria Blvd,Q,N W,Elevated,40.770258,-73.917843,11102
2,3,3,R04,BMT,Astoria,30 Av,Q,N W,Elevated,40.766779,-73.921479,11102
3,4,4,R05,BMT,Astoria,Broadway,Q,N W,Elevated,40.76182,-73.925508,11106
4,5,5,R06,BMT,Astoria,36 Av,Q,N W,Elevated,40.756803999999995,-73.929575,11106
5,6,6,R08,BMT,Astoria,39 Av,Q,N W,Elevated,40.752882,-73.932755,11101
6,7,613,R11,BMT,Astoria,Lexington Av/59 St,M,N W R,Subway,40.76266,-73.967258,10065
7,8,8,R13,BMT,Astoria,5 Av/59 St,M,N W R,Subway,40.764811,-73.973347,10022
8,9,9,R14,BMT,Broadway - Brighton,57 St - 7 Av,M,N Q R W,Subway,40.764664,-73.98065799999999,10019
9,10,10,R15,BMT,Broadway - Brighton,49 St,M,N R W,Subway,40.759901,-73.984139,10019
10,11,611,R16,BMT,Broadway - Brighton,Times Sq - 42 St,M,N Q R W,Subway,40.754672,-73.986754,10018
11,12,607,R17,BMT,Broadway - Brighton,34 St - Herald Sq,M,N Q R W,Subway,40.749567,-73.98795,10016
12,13,13,R18,BMT,Broadway - Brighton,28 St,M,R W,Subway,40.745494,-73.988691,10001
13,14,14,R19,BMT,Broadway - Brighton,23 St,M,R W,Subway,40.741303,-73.98934399999999,10010
14,15,602,R20,BMT,Broadway - Brighton,14 St - Union Sq,M,N Q R W,Subway,40.735735999999996,-73.99056800000001,10010
15,16,16,R21,BMT,Broadway - Brighton,8 St - NYU,M,R W,Subway,40.730328,-73.99262900000001,10003
16,17,17,R22,BMT,Broadway - Brighton,Prince St,M,R W,Subway,40.724329,-73.997702,10012
17,18,623,R23,BMT,Broadway,Canal St,M,R W,Subway,40.719527,-74.001775,10013
18,19,623,Q01,BMT,Manhattan Bridge,Canal St,M,N Q,Subway,40.718383,-74.00046,10013
19,20,20,R24,BMT,Broadway,City Hall,M,R W,Subway,40.713282,-74.006978,10003
20,21,21,R25,BMT,Broadway,Cortlandt St,M,R W,Subway,40.710668,-74.01102900000001,10013
21,22,22,R26,BMT,Broadway,Rector St,M,R W,Subway,40.70722,-74.01334200000001,10006
22,23,635,R27,BMT,Broadway,Whitehall St,M,R W,Subway,40.703087,-74.01299399999999,10004
23,24,620,R28,BMT,Broadway,Court St,Bk,R,Subway,40.6941,-73.991777,11201
24,25,636,R29,BMT,Broadway,Jay St - MetroTech,Bk,R,Subway,40.69218,-73.98594200000001,11201
25,26,26,R30,BMT,Broadway - Brighton,DeKalb Av,Bk,B Q R,Subway,40.690635,-73.981824,11201
26,27,617,R31,BMT,4th Av,Atlantic Av - Barclays Ctr,Bk,D N R,Subway,40.683665999999995,-73.97881,11217
27,28,28,R32,BMT,4th Av,Union St,Bk,R,Subway,40.677316,-73.98311,11209
28,29,608,R33,BMT,4th Av,9 St,Bk,R,Subway,40.670846999999995,-73.988302,11215
29,30,30,R34,BMT,4th Av,Prospect Av,Bk,R,Subway,40.665414,-73.99287199999999,11215
30,31,31,R35,BMT,4th Av,25 St,Bk,R,Subway,40.660396999999996,-73.998091,11232
31,32,32,R36,BMT,4th Av,36 St,Bk,D N R,Subway,40.655144,-74.00354899999999,11232
32,33,33,R39,BMT,4th Av,45 St,Bk,R,Subway,40.648939,-74.010006,11220
33,34,34,R40,BMT,4th Av,53 St,Bk,R,Subway,40.645069,-74.014034,11220
34,35,35,R41,BMT,4th Av,59 St,Bk,N R,Subway,40.641362,-74.017881,11220
35,36,36,R42,BMT,4th Av,Bay Ridge Av,Bk,R,Subway,40.634966999999996,-74.023377,11220
36,37,37,R43,BMT,4th Av,77 St,Bk,R,Subway,40.629742,-74.02551,11209
37,38,38,R44,BMT,4th Av,86 St,Bk,R,Subway,40.622687,-74.028398,11209
38,39,39,R45,BMT,4th Av,Bay Ridge - 95 St,Bk,R,Subway,40.616622,-74.030876,11209
39,40,617,D24,BMT,Broadway - Brighton,Atlantic Av - Barclays Ctr,Bk,B Q,Subway,40.684459999999994,-73.97689,11217
40,41,41,D25,BMT,Broadway - Brighton,7 Av,Bk,B Q,Subway,40.67705,-73.972367,11238
41,42,42,D26,BMT,Broadway - Brighton,Prospect Park,Bk,B Q,Open Cut,40.661614,-73.962246,11225
42,43,43,D27,BMT,Broadway - Brighton,Parkside Av,Bk,B Q,Open Cut,40.655291999999996,-73.961495,11226
43,44,44,D28,BMT,Broadway - Brighton,Church Av,Bk,B Q,Open Cut,40.650527000000004,-73.962982,11226
44,45,45,D29,BMT,Broadway - Brighton,Beverley Rd,Bk,B Q,Open Cut,40.644031,-73.964492,11226
45,46,46,D30,BMT,Broadway - Brighton,Cortelyou Rd,Bk,B Q,Open Cut,40.640927000000005,-73.963891,11226
46,47,47,D31,BMT,Broadway - Brighton,Newkirk Plaza,Bk,B Q,Open Cut,40.635082000000004,-73.962793,11226
47,48,48,D32,BMT,Broadway - Brighton,Avenue H,Bk,B Q,Open Cut,40.62927,-73.961639,11230
48,49,49,D33,BMT,Broadway - Brighton,Avenue J,Bk,B Q,Open Cut,40.625039,-73.960803,11230
49,50,50,D34,BMT,Broadway - Brighton,Avenue M,Bk,B Q,Open Cut,40.617618,-73.959399,11230
50,51,51,D35,BMT,Broadway - Brighton,Kings Hwy,Bk,B Q,Open Cut,40.608670000000004,-73.957734,11229
51,52,52,D37,BMT,Broadway - Brighton,Avenue U,Bk,B Q,Open Cut,40.5993,-73.955929,11229
52,53,53,D38,BMT,Broadway - Brighton,Neck Rd,Bk,B Q,Open Cut,40.595246,-73.955161,11229
53,54,54,D39,BMT,Broadway - Brighton,Sheepshead Bay,Bk,B Q,Open Cut,40.586896,-73.954155,11235
54,55,55,D40,BMT,Broadway - Brighton,Brighton Beach,Bk,B Q,Elevated,40.577621,-73.961376,11235
55,56,56,D41,BMT,Broadway - Brighton,Ocean Pkwy,Bk,Q,Elevated,40.576312,-73.968501,11235
56,57,57,D42,BMT,Broadway - Brighton,W 8 St - NY Aquarium,Bk,F Q,Elevated,40.576127,-73.975939,11224
57,58,58,D43,BMT,Sea Beach / West End / Culver / Brighton,Coney Island - Stillwell Av,Bk,D F N Q,Viaduct,40.577422,-73.98123299999999,11224
58,59,59,B12,BMT,West End,9 Av,Bk,D,Open Cut,40.646291999999995,-73.994324,11220
59,60,60,B13,BMT,West End,Fort Hamilton Pkwy,Bk,D,Elevated,40.640914,-73.994304,11219
